cylinders,fuel,mileage,body,doors,drivetrain,price
4.0,3,11.0,6,4.0,2,32406.0
8.0,3,21.0,6,4.0,0,46835.0
6.0,3,10.0,6,4.0,1,52631.0
6.0,0,252.0,5,4.0,1,71999.0
4.0,3,3.0,6,4.0,0,30955.0
6.0,0,11.0,5,4.0,1,80927.0
4.0,4,13.0,7,4.0,2,27080.0
6.0,3,10.0,6,4.0,0,90995.0
6.0,0,6.0,5,4.0,1,64111.0
6.0,3,10.0,6,4.0,1,49260.0
4.0,4,6.0,6,4.0,2,38855.0
6.0,3,7.0,6,4.0,1,72135.0
4.0,3,5.0,6,4.0,0,51625.0
4.0,3,1.0,5,4.0,0,40449.0
4.0,4,11.0,6,4.0,1,62343.0
4.0,3,3.0,6,4.0,2,30188.0
6.0,3,9.0,6,2.0,1,77645.0
8.0,3,2.0,5,4.0,1,49496.0
4.0,3,11.0,6,4.0,0,29386.0
4.0,3,0.0,6,4.0,1,31721.0
4.0,3,12.0,6,4.0,2,25080.0
3.0,3,0.0,6,4.0,1,35210.0
4.0,3,1.0,6,4.0,0,35389.0
8.0,3,12.0,6,4.0,0,53995.0
4.0,3,11.0,6,4.0,2,30305.0
4.0,3,13.0,6,4.0,0,33331.0
4.0,3,1.0,5,4.0,0,40375.0
4.0,3,54.0,6,4.0,0,34637.0
6.0,3,10.0,0,3.0,2,51380.0
4.0,3,12.0,5,4.0,0,38574.0
3.0,3,5.0,6,4.0,2,24680.0
4.0,3,9.0,5,4.0,1,43135.0
6.0,1,10.0,0,3.0,3,53595.0
4.0,3,0.0,6,4.0,0,43524.0
8.0,3,5.0,6,4.0,0,46835.0
4.0,4,14.0,7,4.0,2,38870.0
6.0,0,15.0,5,4.0,1,61481.0
4.0,4,11.0,6,4.0,0,36882.0
6.0,3,5.0,6,4.0,0,98180.0
6.0,0,27.0,5,4.0,1,67422.0
4.0,3,6.0,7,4.0,2,20849.0
4.0,3,11.0,6,4.0,0,31537.0
6.0,3,0.0,6,4.0,0,46350.0
6.0,0,13.0,5,4.0,1,67562.0
8.0,3,10.0,5,2.0,1,52263.0
4.0,4,147.0,6,4.0,0,42876.0
8.0,3,5.0,5,4.0,1,65416.0
4.0,3,10.0,6,4.0,1,28867.0
6.0,3,10.0,6,4.0,1,37729.0
4.0,3,28.0,7,4.0,2,29374.0
4.0,4,33.0,6,4.0,0,51835.0
6.0,3,20.0,7,4.0,3,37490.0
4.0,3,10.0,2,4.0,0,52405.0
8.0,3,32.0,6,4.0,0,47785.0
6.0,3,8.0,6,4.0,0,95230.0
6.0,0,6.0,5,4.0,1,67237.0
6.0,3,0.0,0,3.0,3,42990.0
6.0,0,344.0,5,4.0,1,65221.0
4.0,3,5.0,5,4.0,3,42947.0
4.0,3,3.0,6,4.0,1,58648.0
6.0,3,6.0,6,4.0,1,50184.0
4.0,3,0.0,6,4.0,0,27555.0
4.0,3,5.0,7,4.0,0,73960.0
6.0,3,10.0,6,4.0,1,46659.0
8.0,0,5.0,5,4.0,1,70190.0
6.0,3,20.0,7,4.0,3,37490.0
6.0,3,20.0,6,4.0,1,66770.0
6.0,3,1.0,6,4.0,1,89595.0
6.0,3,1.0,0,3.0,2,53272.0
6.0,3,246.0,6,4.0,1,52567.0
4.0,4,5.0,6,4.0,0,45051.0
4.0,4,1.0,6,4.0,0,50595.0
8.0,3,5.0,5,4.0,1,54190.0
4.0,3,0.0,6,4.0,0,35585.0
4.0,3,9.0,6,4.0,1,27087.0
4.0,4,16.0,6,4.0,0,40085.0
4.0,3,4723.0,6,4.0,0,45995.0
6.0,3,5.0,6,4.0,3,63862.0
4.0,4,29.0,6,4.0,1,67164.0
4.0,3,0.0,6,4.0,0,49166.0
6.0,3,14.0,4,4.0,0,54403.0
8.0,3,0.0,5,4.0,1,59620.0
4.0,4,10.0,6,4.0,0,39832.0
4.0,3,13.0,7,4.0,2,24348.0
4.0,3,7.0,6,4.0,1,28860.0
6.0,3,10.0,6,4.0,1,74625.0
4.0,3,1.0,6,4.0,0,33785.0
6.0,0,10.0,5,4.0,1,81663.0
4.0,4,12.0,6,4.0,0,40754.0
4.0,5,3.0,6,4.0,0,54949.0
4.0,4,7.0,6,4.0,0,41391.0
4.0,3,6.0,7,4.0,2,21889.0
4.0,3,3.0,5,4.0,0,31610.0
6.0,3,10.0,6,4.0,1,49201.0
4.0,3,10.0,6,4.0,0,27450.0
6.0,4,10.0,4,4.0,2,60600.0
3.0,3,7.0,6,4.0,0,36190.0
4.0,4,0.0,6,4.0,0,47142.0
6.0,3,65.0,6,4.0,1,83910.0
4.0,4,185.0,6,4.0,1,59547.0
6.0,3,5581.0,0,3.0,3,57000.0
4.0,3,3.0,6,4.0,1,59116.0
6.0,4,10.0,5,4.0,1,68256.0
4.0,3,10.0,6,4.0,2,24500.0
4.0,4,5.0,6,4.0,1,49550.0
6.0,0,5.0,5,4.0,1,83374.0
4.0,3,6.0,7,4.0,2,24348.0
6.0,0,5.0,5,4.0,1,89040.0
4.0,3,2.0,6,4.0,0,42715.0
8.0,3,22.0,6,4.0,0,47280.0
4.0,4,5.0,7,4.0,2,38870.0
6.0,3,3.0,6,4.0,1,47451.0
4.0,3,21.0,6,4.0,0,46490.0
